arg:  ['/var/spool/slurm/d/job02870/slurm_script', 'ContrastiveLearning_Model/saved_models/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(61)
The digit is a tensor(18)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 7.4683, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 3.8153, Train Accuracy: 0.2500
Epoch [1/250], Progress: 3/19, Train Loss: 4.3664, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 5.8715, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.1893, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 5.1432, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 5.4937, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 5.4574, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 5.9167, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 7.9460, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 6.4446, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 5.2507, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 5.3800, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 11.5933, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 4.9769, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 5.4604, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 5.1868, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 6.5454, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 4.8482, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 4.8482, Train Accuracy: 0.0133, Validation Loss: 3.9795, Validation Accuracy: 0.1024

Epoch [2/250], Progress: 1/19, Train Loss: 4.2063, Train Accuracy: 0.0000
Epoch [2/250], Progress: 2/19, Train Loss: 3.6963, Train Accuracy: 0.0000
Epoch [2/250], Progress: 3/19, Train Loss: 4.1527, Train Accuracy: 0.0000
Epoch [2/250], Progress: 4/19, Train Loss: 3.6228, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 4.1535, Train Accuracy: 0.0000
Epoch [2/250], Progress: 6/19, Train Loss: 3.5078, Train Accuracy: 0.5000
Epoch [2/250], Progress: 7/19, Train Loss: 3.4567, Train Accuracy: 0.2500
Epoch [2/250], Progress: 8/19, Train Loss: 3.9986, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 3.9804, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 3.5098, Train Accuracy: 0.2500
Epoch [2/250], Progress: 11/19, Train Loss: 3.9347, Train Accuracy: 0.0000
Epoch [2/250], Progress: 12/19, Train Loss: 3.7949, Train Accuracy: 0.2500
Epoch [2/250], Progress: 13/19, Train Loss: 3.9010, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 4.0435, Train Accuracy: 0.0000
Epoch [2/250], Progress: 15/19, Train Loss: 4.1137, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 4.2077, Train Accuracy: 0.0000
Epoch [2/250], Progress: 17/19, Train Loss: 4.4008, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.2566, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 3.8650, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 3.8650, Train Accuracy: 0.0667, Validation Loss: 3.2640, Validation Accuracy: 0.1732

Epoch [3/250], Progress: 1/19, Train Loss: 2.7775, Train Accuracy: 0.5000
Epoch [3/250], Progress: 2/19, Train Loss: 2.3895, Train Accuracy: 0.2500
Epoch [3/250], Progress: 3/19, Train Loss: 3.4158, Train Accuracy: 0.2500
Epoch [3/250], Progress: 4/19, Train Loss: 2.8934, Train Accuracy: 0.5000
Epoch [3/250], Progress: 5/19, Train Loss: 2.4628, Train Accuracy: 0.7500
Epoch [3/250], Progress: 6/19, Train Loss: 3.9129, Train Accuracy: 0.0000
Epoch [3/250], Progress: 7/19, Train Loss: 3.1488, Train Accuracy: 0.2500
