0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0.9999321699142456,1.1338623375969549e-31,1.4289606704216202e-27,8.418703661440801e-15,1.4897738804305755e-13,7.157058420307477e-14,3.3049216222988e-37,4.861973224024041e-08,1.5548566771041926e-24,4.173610078626178e-28,1.4853984488636106e-32,4.6569556343785054e-14,2.8734454535079266e-16,1.6161814277252215e-28,1.5047746559226497e-29,3.5401259034563934e-20,6.3214851131476735e-09,1.0720195997365785e-27,7.647654512420373e-28,8.31390378883914e-42,1.3980160145713114e-21,3.592227797180443e-35,3.054026754141071e-20,6.777716043870896e-05,3.2426672210951945e-15,3.9479663553182225e-22,9.076928319150701e-21,5.5497436507456754e-11,4.819041124105619e-31,5.2692817042782885e-20,5.828894384236023e-27,1.6340126364208215e-33,1.0766312004698149e-25,5.447899967669821e-21,9.69073593891559e-34,5.731310719088502e-42,1.3473718068527638e-26,9.029442982111329e-21,1.0774271015298598e-12,1.6891083533155626e-39,5.3970233357013676e-33,4.252252772118936e-09,1.0319344486083048e-35,1.6735745635414373e-23,6.57178131358016e-11,3.7594071634666265e-38,2.9259575124306417e-28,4.124293951062591e-13,3.1429050491379065e-20,1.7361432957743066e-32,5.1026720580477146e-17,1.331116249379916e-25,6.768820997248892e-24,1.92391102709998e-35,1.67652609440439e-39,5.304316134145638e-26,6.606079339169187e-29,2.3123488676014148e-18,6.066297472826768e-34,4.859565434584975e-22,0.0,5.464949662590573e-20,1.7220108666912357e-14,7.370863616376431e-26,6.339975356936315e-38,1.3529998790177272e-13,3.517259145455291e-43,7.951372192696214e-33,2.274466774470929e-34,1.0508448972101903e-10,3.508072365904736e-30,3.01860888148417e-34,1.648013729605921e-13,1.6388790536019623e-21,8.037343294474746e-32
1.0209965077869395e-16,0.9987162351608276,9.501616649780584e-15,1.8453486916314432e-07,7.12865998903653e-16,6.783191381100657e-17,1.580389291655493e-11,2.691865556413847e-13,4.497978942772014e-16,2.2903169138999147e-08,2.4550255925404052e-11,1.896846178392475e-12,9.075616702602929e-09,0.0006995770381763577,2.264562798710591e-19,0.000251053279498592,2.6995908980476102e-11,3.3946071441407237e-15,7.501862455683295e-07,2.2889040662832372e-10,9.334088406712238e-13,1.7798313685498876e-14,1.7326455292732135e-07,1.2460863452190551e-08,4.515767274004823e-11,2.3753778805257753e-05,4.401177434109303e-14,3.346713739471596e-10,8.634315236122347e-06,5.042950031411692e-19,1.9700337194894502e-10,3.990092878325413e-08,1.6586522086359246e-11,1.4723555068485439e-06,5.630722017119227e-12,3.394735013928507e-12,5.519973714229742e-11,0.00027078515267930925,3.8994821911428335e-13,8.231000379055331e-07,1.560017915823144e-19,1.7477957015704648e-13,1.0248080162256201e-10,2.685163289634085e-13,6.8490937366050275e-09,9.977403578886879e-07,8.476198900600435e-21,2.386913333651819e-09,1.4091952493799909e-07,1.0475335043835798e-09,3.3296696411721586e-17,3.5353122339321086e-14,1.816775876558855e-20,1.484252953851203e-19,1.3841605639441923e-10,1.4605730993592827e-19,2.5261420887545682e-05,8.42134717515819e-09,5.471210902839717e-19,1.8450087920125757e-13,9.225684958532286e-19,9.162558049699842e-18,1.220969119693817e-19,3.777922256715388e-13,9.105286545628508e-16,4.442733755646893e-21,3.088058919686887e-09,1.1166338781897454e-14,6.961525946631505e-14,6.224704310144372e-16,2.5634960191915634e-13,5.905105081034381e-18,1.9163169315272732e-11,1.314010257888595e-15,6.387665136414755e-12
7.196546743942767e-12,1.3306990223459803e-20,0.9593066573143005,2.76162211321207e-07,1.1732959048771363e-10,2.1411578361566798e-14,1.0797576027732347e-10,7.204197771670806e-08,5.032943506400045e-10,6.591558218303414e-14,8.651125267002645e-15,0.00010291729267919436,8.104704785049025e-19,8.59483173526081e-18,7.026984860658558e-08,4.4510293888133656e-14,6.845880761829903e-06,0.00024051594664342701,7.210963427664151e-15,1.2830479214137797e-15,9.543782431009618e-10,1.4960723149215482e-07,1.7420306516746642e-11,1.3088615317227628e-17,3.986814940834337e-16,7.469786667000493e-21,1.1082469664192018e-10,2.0356574065294453e-11,1.0770797338211166e-17,0.00010340378503315151,1.522159204236928e-10,1.6180232154106022e-10,2.0503326595644467e-05,9.809749448299807e-14,3.333078353214816e-16,3.4564545253339173e-15,3.285911265304975e-10,7.46046799370622e-15,1.1690054479984724e-09,1.4658304951786771e-13,1.7936270073967082e-18,1.980732065995014e-13,3.0916263176440574e-16,3.0523823282857e-15,1.8950832222919267e-11,8.338779428247733e-13,6.105286942670318e-09,4.368887182907254e-14,5.320197669789195e-05,6.3449463498696105e-28,3.050920193564677e-12,2.9616343551796275e-21,1.3600152907017159e-16,6.23918027852157e-25,1.4750846957855282e-22,6.754866110902924e-10,4.969360247110557e-24,6.066912072701256e-31,3.987408803141079e-08,4.526389826792134e-20,3.34811583500654e-16,1.5221792107861535e-18,4.7458652192811284e-18,0.04016432538628578,2.0133592265412033e-21,9.2157841111802e-16,8.015216023005308e-16,2.6500916829094477e-25,4.311479757841154e-17,1.1537525492280598e-12,1.0394420542070293e-06,9.776538302877502e-14,5.075776128565362e-21,1.5104712641975368e-26,2.7451273735371886e-16
6.158966392444398e-11,4.962825261856096e-09,4.786240292986577e-09,0.9778375029563904,2.5907452183560054e-08,3.87854335139825e-17,4.5266570982034626e-13,5.262846229925344e-07,4.759214723704108e-12,2.539077001983969e-07,1.5599421236624396e-14,8.516622962417841e-09,3.4265179669340506e-14,3.787312834901968e-06,2.9557990576618495e-14,5.803903798534682e-12,1.051370986715483e-06,9.572437074500516e-15,1.5984843448890729e-09,2.725357665907304e-18,1.371267465896664e-13,3.982867502602336e-14,5.379318963605328e-07,1.9907703929789022e-08,4.219854417897295e-06,9.211942320064281e-11,3.897647450016445e-13,2.7101207562829632e-12,2.990351564459426e-13,1.1669549007664592e-11,3.1405524882066604e-12,2.5536389784974745e-06,2.832878642777814e-08,3.805856181315903e-07,5.778704880061991e-13,3.979951337571529e-14,1.2599743058672175e-05,0.022105325013399124,2.7323419568570095e-11,5.724575813381705e-10,1.127013768417561e-22,9.919294118726496e-13,8.76396618229014e-18,8.716859699331447e-13,2.801132950480678e-06,7.308392037169362e-14,2.6036262037865765e-22,1.980608743679113e-08,2.8239037419552915e-05,4.998194927576467e-23,5.168000003500295e-16,1.8152225218413598e-19,4.5515748915049595e-20,3.0063015781429627e-24,3.7813731937309693e-19,5.846155756895769e-16,1.0837153657100584e-13,9.908138783749616e-17,3.7868931953652526e-16,5.999361652675248e-21,3.1254766883608735e-23,7.262385668687026e-21,1.4398106594785617e-14,1.2212491462548769e-08,1.7942260929553497e-18,5.4266026033683806e-17,1.625911082473678e-15,7.323108116959556e-23,2.567362432056635e-21,6.657016585654048e-15,1.3770107016447541e-12,9.637342764102723e-19,1.506569857677941e-15,2.831829930715935e-16,1.2418727234054621e-16
1.0671870853684595e-07,2.253922649889164e-23,3.277603611694796e-13,3.337950360560171e-08,0.9786146879196167,2.1140197231650504e-11,1.3837485626435138e-21,0.020162392407655716,0.00010057303006760776,1.0130942647832743e-14,1.0177191493785775e-14,5.18745153499367e-08,9.78520419372872e-18,6.806268195531581e-14,5.067894261661992e-15,2.8393116308610133e-13,7.352519634795662e-12,5.949080070349231e-18,1.2185042350959338e-24,2.3548121220962327e-23,7.949273412047249e-19,4.9832677094450725e-18,1.3701184826443724e-13,5.876921865821672e-11,0.0008757002651691437,6.759508020946215e-23,3.3373213914611455e-11,2.3575937209419084e-12,4.609168634123671e-20,2.05908349926176e-06,1.4389981177129196e-12,8.061340223824986e-13,4.791496518129212e-13,1.1499536344117115e-15,1.2470383008947333e-17,2.2456668787712835e-15,3.7483587789211015e-08,3.083298819102245e-15,0.00014032880426384509,1.8237744384641644e-20,1.0254521218433231e-19,8.076581252680626e-06,6.937423992002746e-26,1.1182620482941275e-06,8.638573945063399e-07,2.4398188152501656e-20,4.4103631337277793e-13,3.205254373028765e-08,3.1463663674458076e-08,9.719818503443813e-22,5.785276258052363e-08,1.9981218795967673e-23,6.812765954676558e-13,1.0871593431753815e-17,1.2852199860329613e-18,6.246269776966074e-07,8.642633841115759e-17,2.2509318238131794e-16,2.399401348804147e-20,3.8622585329415843e-19,1.4452663452138529e-24,1.7709064437099187e-08,2.1899678870340722e-07,4.5980668545667763e-14,4.547709114610981e-20,9.286638669436797e-05,7.893724808869589e-21,6.016415689486422e-22,5.373155661957394e-24,8.611359021692966e-12,1.8734379100774507e-20,4.502775759008306e-20,1.5235633554766537e-07,5.035669659037012e-09,1.9838075125332144e-21
1.3219983267809265e-11,3.152393255209788e-39,3.688433965464961e-31,2.6895314420233785e-33,1.1840912627894118e-23,1.0,0.0,3.937849425229055e-25,4.281834534066611e-27,0.0,2.1271577116868955e-24,9.24711628341561e-15,6.588375259070046e-16,6.855152087477005e-42,2.317076112927592e-36,8.612214108652999e-18,2.134322545865983e-28,2.3220488543688933e-21,9.80908925027372e-45,7.651089615213501e-43,5.550650277752543e-26,2.0664641109408494e-35,2.7243297482275645e-33,7.638935925732667e-19,8.204457595796191e-33,7.843863921812169e-28,2.714647354563199e-13,4.165728786903857e-15,6.485852892760622e-26,1.5076872939443262e-28,3.0551033536391933e-23,9.091624436539413e-42,6.907429559951639e-31,1.9815797425155995e-24,0.0,0.0,5.20667659158092e-35,3.718936823037847e-39,5.412144799162022e-13,0.0,1.1367853218497096e-30,9.342193685313305e-11,3.368383654056073e-35,5.681779495348374e-34,4.748369685272036e-28,1.2968330651078663e-39,2.7637798733631813e-12,4.417266997161402e-19,1.014829026837826e-24,2.17130714055154e-23,9.049473170819056e-09,5.610444624735934e-27,6.264040255517066e-19,6.069923066982862e-20,2.4735440232568806e-40,4.23184314276676e-24,2.942726775082116e-44,9.250190967230854e-29,1.173057404096239e-32,2.1459735030648908e-12,1.6677363096570662e-37,5.4635987525731823e-17,4.060544460480472e-31,4.769688816632391e-33,1.934100166430399e-40,9.755870053101875e-17,1.671984345951667e-38,3.858933612227027e-16,4.660095959356962e-22,8.012137481250292e-11,1.3975065599284756e-31,3.433480915968784e-21,2.0812929620463145e-17,1.8984843442715802e-38,1.1950208874904182e-26
1.7628124874769707e-19,4.677852072712541e-13,1.0425283547685002e-13,6.3784485505868904e-12,1.6555488496705284e-18,1.191168354851203e-20,0.9948623776435852,1.445708461798867e-12,1.2378580152271331e-21,0.0002735082234721631,6.862939019974175e-21,4.0797684783440424e-13,1.421900467017868e-19,1.438527171629411e-15,1.9536425810429137e-08,9.95597632114098e-11,4.8063157009892166e-06,8.251636576990257e-15,0.004748739767819643,1.368875246043899e-06,1.1149452916470182e-08,6.874683114443947e-12,3.704850648489355e-09,6.15211115558012e-13,4.11983766430571e-20,6.902061144842264e-09,2.0294502029761354e-18,1.887748339868267e-07,5.1376926976782305e-21,4.204585491622906e-14,2.539123349171667e-15,5.0650330284118805e-12,7.788841685396619e-06,7.599850653308704e-15,7.681595161557198e-05,2.856139180732092e-17,9.176326801868032e-17,8.163324238807945e-09,1.7999312486299953e-15,4.897144734172798e-08,3.2654429290776554e-13,3.2554893940924933e-15,1.1357523135302472e-06,2.3738241810939257e-20,1.7503912763672247e-09,1.345828865018106e-10,9.849436655299235e-21,1.2907579925457465e-21,4.472347825412726e-09,6.312279975696262e-24,1.0310207663505155e-18,2.053903047638528e-09,7.43844399225964e-18,9.669529598923496e-25,3.1488443196733715e-17,5.0413687102346746e-17,1.2197700531915712e-12,1.7991444922413335e-12,1.2816413175187336e-07,5.582155410154808e-26,8.636254458795628e-18,1.8286164575496244e-24,2.807568197024657e-12,2.314122684765607e-05,5.025882596383646e-13,1.2824566956441354e-24,4.938621893197054e-16,1.7615971523209564e-25,5.116136176139914e-15,6.504600921259737e-19,2.558097900173806e-10,3.8068723285826235e-19,2.1797665866111002e-26,4.604109524085017e-16,2.4732563731272783e-15
0.01973181776702404,2.9514251975135233e-30,6.354114847221943e-24,5.10088082883442e-11,2.750699877651641e-06,3.771124684435379e-18,1.0650406134156336e-29,0.9802369475364685,5.761150177287287e-17,1.4403801885504278e-16,9.586496372637267e-28,3.655486937453878e-12,1.5312789814878935e-22,3.999796662492905e-22,7.450342545729567e-23,1.028170799560495e-20,1.979595617740415e-05,6.604150135143894e-27,7.685279167813271e-25,2.2162259942441955e-35,2.528777566486269e-22,3.6915815913901355e-29,3.3072490347460006e-19,1.010350274555094e-06,4.532445530003315e-09,3.4807701047162254e-25,5.59120004228604e-20,1.454029361106987e-13,3.727663268237213e-31,4.180573801634141e-14,2.4148720471152344e-23,1.3485577174753197e-22,3.129219410526702e-21,2.8678440694505834e-21,3.710458385893687e-21,6.623592060894743e-30,1.7118638434405366e-17,2.488573269912478e-16,9.212793194990354e-09,1.1857637633446587e-33,1.0385099353740718e-28,8.236060011768132e-07,1.6425421336329834e-35,2.107038908584144e-13,6.00057410338195e-06,2.4697253860211343e-31,1.0332308410258849e-28,4.976216921165344e-13,1.0254163918801615e-14,2.0880939818579783e-33,1.822208850417494e-15,5.484543887969418e-27,5.379133713006031e-22,8.270397979963124e-32,2.029588797824668e-31,2.2138971279918328e-17,1.0749922918465507e-21,2.0442344434233263e-17,1.4556254691712662e-31,3.124022921250545e-26,5.324934164434305e-44,6.100266233995122e-14,8.252650331996847e-07,1.0968727538563555e-20,3.677927867155052e-32,2.7359336129961775e-08,5.308031702357619e-38,1.0756568799136159e-36,9.802264366233072e-37,1.0309545473991943e-14,2.678533713772389e-29,4.784709246713e-34,6.938143115586826e-11,1.4586411505729258e-12,1.7770765437296326e-34
1.1603799492818977e-19,1.1674149010252207e-23,3.0582035622157052e-15,2.297703260295547e-12,8.572326350986259e-07,3.129748464825954e-22,2.4775341087161982e-23,3.6121615681200536e-12,0.9997666478157043,1.0773286986418828e-16,4.004001297186477e-11,3.0761383202035125e-16,1.6284671022308632e-31,1.628036420953105e-11,8.280493945342784e-22,1.0329476794515547e-15,5.713306198645002e-21,5.124772645420099e-22,5.487448018233181e-32,2.4191279201444656e-22,1.9251106718444868e-29,5.63311850033184e-16,5.230998105318715e-21,4.729994336704827e-22,1.2771339470418752e-06,4.976709828733107e-32,4.394796697859945e-17,5.640861605487024e-23,6.306649321486407e-17,1.0392846251563309e-13,2.3235022846707087e-12,2.913674634896779e-08,9.706941459601526e-16,6.691076415737854e-16,1.077758177019775e-20,3.1286086255022383e-07,0.00023048100410960615,7.317116655527966e-19,1.3547042654327157e-10,2.912850021784238e-17,2.8995621610603286e-29,2.7511617421325466e-15,8.545317896756037e-33,4.27495905341857e-07,1.1197325576448622e-15,2.398458369368185e-18,8.350223493835157e-20,1.3513272532211795e-12,8.161461957645333e-12,1.1254656841113282e-24,5.296470020005946e-16,8.69060465355076e-37,2.8179583253120845e-25,3.2785287034927e-18,1.1192968650726182e-15,1.4314894825062652e-09,7.961550064807243e-20,3.771637101308254e-32,1.2692419905012246e-26,5.4624415307416415e-27,1.4730910865058537e-22,3.029921149047543e-12,2.337866916535542e-22,5.3227554541363296e-18,2.0990047316831195e-20,5.222392803234658e-18,1.331455589651567e-16,2.0415946716481245e-26,3.2899380496554133e-28,2.1197860037428314e-23,7.036962060430105e-27,4.5288108245019505e-22,1.1742896321401564e-14,3.790951541973785e-17,2.2849044781114035e-29
5.676672227240232e-19,3.284678301920807e-12,3.4621521453931825e-16,1.507959979107909e-08,3.5804564430428026e-16,3.449245793133203e-24,1.98768293557805e-06,4.172325679396849e-11,3.953684738095539e-19,0.9999284744262695,9.557206023346468e-21,5.380507440955716e-14,9.419112015448328e-24,3.2179675590882084e-11,3.3171779125623635e-12,3.4140772891058657e-13,6.565176590811461e-06,2.0198288452188763e-20,8.93308992999664e-07,3.1689900703568696e-11,3.678547199378705e-15,1.9764580393871224e-14,8.264778861288846e-10,2.6842110890760995e-13,3.737958937332069e-15,6.863081744622537e-14,1.4158681231538543e-19,9.786272405507349e-14,5.433230517273432e-20,1.8346792929834453e-15,3.0037614724430007e-16,1.3893470907078154e-07,4.115172203000839e-09,3.749883890679989e-15,8.16702868178254e-06,1.810665231302428e-14,5.26964268662139e-13,5.3223324357531965e-05,1.0234497931348738e-15,1.1609689920533128e-07,4.5591057893708866e-20,5.514277660249693e-16,1.9763891756085106e-15,3.6233663380573174e-16,3.733687492513127e-07,4.5887681675294e-12,7.235581366702014e-26,3.664995343893294e-19,3.234951151398491e-08,6.1391150907721524e-27,4.4832357173000145e-21,1.7964406622503073e-18,1.355602813338795e-22,1.0314031335086614e-28,3.98904583040278e-18,1.6676277132063033e-17,2.421773614980083e-10,1.6091116662725466e-15,2.7360114990797194e-15,4.662822344740096e-29,2.6603232778754935e-23,8.078351399160212e-24,5.482488920315054e-13,2.3477003452399003e-08,2.1565811216035434e-17,3.4049519435583353e-25,2.450448846352154e-16,8.237558782031377e-31,5.2525196444518865e-22,4.2234815169385613e-22,4.964565982975861e-16,1.0031221535106425e-23,2.0844428263783955e-23,2.1066099033370186e-15,9.027924128257078e-22
