arg:  ['/var/spool/slurm/d/job02965/slurm_script', 'ContrastiveLearning_Model/saved_models/masked_encoder_64_16_128_3_0.05']
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/

------ True

device cuda 

validation_data 10200
The digit is a 14
The digit is a 14
train num batches 19
val num batches 19
The digit is a tensor(50)
The digit is a tensor(3)
*************** Using pretrained ***************

Epoch [1/250], Progress: 1/19, Train Loss: 8.1126, Train Accuracy: 0.0000
Epoch [1/250], Progress: 2/19, Train Loss: 4.5234, Train Accuracy: 0.0000
Epoch [1/250], Progress: 3/19, Train Loss: 10.5352, Train Accuracy: 0.0000
Epoch [1/250], Progress: 4/19, Train Loss: 16.7327, Train Accuracy: 0.0000
Epoch [1/250], Progress: 5/19, Train Loss: 4.5625, Train Accuracy: 0.0000
Epoch [1/250], Progress: 6/19, Train Loss: 10.9343, Train Accuracy: 0.0000
Epoch [1/250], Progress: 7/19, Train Loss: 7.9519, Train Accuracy: 0.0000
Epoch [1/250], Progress: 8/19, Train Loss: 4.4601, Train Accuracy: 0.0000
Epoch [1/250], Progress: 9/19, Train Loss: 5.8433, Train Accuracy: 0.0000
Epoch [1/250], Progress: 10/19, Train Loss: 7.1173, Train Accuracy: 0.0000
Epoch [1/250], Progress: 11/19, Train Loss: 8.5235, Train Accuracy: 0.0000
Epoch [1/250], Progress: 12/19, Train Loss: 7.4967, Train Accuracy: 0.0000
Epoch [1/250], Progress: 13/19, Train Loss: 5.9950, Train Accuracy: 0.0000
Epoch [1/250], Progress: 14/19, Train Loss: 5.6177, Train Accuracy: 0.0000
Epoch [1/250], Progress: 15/19, Train Loss: 7.5334, Train Accuracy: 0.0000
Epoch [1/250], Progress: 16/19, Train Loss: 5.7399, Train Accuracy: 0.0000
Epoch [1/250], Progress: 17/19, Train Loss: 8.6206, Train Accuracy: 0.0000
Epoch [1/250], Progress: 18/19, Train Loss: 5.7144, Train Accuracy: 0.0000
Epoch [1/250], Progress: 19/19, Train Loss: 8.1872, Train Accuracy: 0.0000
Epoch [1/250], Train Loss: 7.5896, Train Accuracy: 0.0000, Validation Loss: 3.5628, Validation Accuracy: 0.2267

Epoch [2/250], Progress: 1/19, Train Loss: 3.3956, Train Accuracy: 0.2500
Epoch [2/250], Progress: 2/19, Train Loss: 3.8951, Train Accuracy: 0.5000
Epoch [2/250], Progress: 3/19, Train Loss: 3.0206, Train Accuracy: 0.2500
Epoch [2/250], Progress: 4/19, Train Loss: 2.9616, Train Accuracy: 0.0000
Epoch [2/250], Progress: 5/19, Train Loss: 3.3523, Train Accuracy: 0.2500
Epoch [2/250], Progress: 6/19, Train Loss: 3.4516, Train Accuracy: 0.0000
Epoch [2/250], Progress: 7/19, Train Loss: 6.6740, Train Accuracy: 0.0000
Epoch [2/250], Progress: 8/19, Train Loss: 3.3462, Train Accuracy: 0.0000
Epoch [2/250], Progress: 9/19, Train Loss: 3.8363, Train Accuracy: 0.0000
Epoch [2/250], Progress: 10/19, Train Loss: 3.8179, Train Accuracy: 0.0000
Epoch [2/250], Progress: 11/19, Train Loss: 2.7481, Train Accuracy: 0.2500
Epoch [2/250], Progress: 12/19, Train Loss: 3.4612, Train Accuracy: 0.0000
Epoch [2/250], Progress: 13/19, Train Loss: 3.6282, Train Accuracy: 0.0000
Epoch [2/250], Progress: 14/19, Train Loss: 3.1817, Train Accuracy: 0.2500
Epoch [2/250], Progress: 15/19, Train Loss: 3.4779, Train Accuracy: 0.0000
Epoch [2/250], Progress: 16/19, Train Loss: 3.2661, Train Accuracy: 0.2500
Epoch [2/250], Progress: 17/19, Train Loss: 3.1148, Train Accuracy: 0.0000
Epoch [2/250], Progress: 18/19, Train Loss: 4.0943, Train Accuracy: 0.0000
Epoch [2/250], Progress: 19/19, Train Loss: 4.0193, Train Accuracy: 0.0000
Epoch [2/250], Train Loss: 3.6180, Train Accuracy: 0.1067, Validation Loss: 2.4797, Validation Accuracy: 0.4667

Epoch [3/250], Progress: 1/19, Train Loss: 3.0207, Train Accuracy: 0.5000
Epoch [3/250], Progress: 2/19, Train Loss: 2.8082, Train Accuracy: 0.0000
Epoch [3/250], Progress: 3/19, Train Loss: 1.9357, Train Accuracy: 0.5000
Epoch [3/250], Progress: 4/19, Train Loss: 2.5634, Train Accuracy: 0.2500
Epoch [3/250], Progress: 5/19, Train Loss: 1.6342, Train Accuracy: 0.5000
Epoch [3/250], Progress: 6/19, Train Loss: 2.6839, Train Accuracy: 0.2500
Epoch [3/250], Progress: 7/19, Train Loss: 2.5345, Train Accuracy: 0.5000
